"condition" "typerepeat" "nb_of_sv" "runocc"
"random" "NoSD" 3677 "29"
"random" "LINE" 1686 "29"
"random" "SINE" 474 "29"
"random" "DNA" 2101 "29"
"random" "LTR" 289 "29"
"random" "All" 3984 "30"
"random" "SD" 3984 "30"
"random" "NoSD" 3642 "30"
"random" "LINE" 1631 "30"
"random" "SINE" 459 "30"
"random" "DNA" 2066 "30"
"random" "LTR" 253 "30"
"random" "All" 3982 "31"
"random" "SD" 3981 "31"
"random" "NoSD" 3625 "31"
"random" "LINE" 1667 "31"
"random" "SINE" 464 "31"
"random" "DNA" 2045 "31"
"random" "LTR" 317 "31"
"random" "All" 3977 "32"
"random" "SD" 3977 "32"
"random" "NoSD" 3643 "32"
"random" "LINE" 1735 "32"
"random" "SINE" 495 "32"
"random" "DNA" 2004 "32"
"random" "LTR" 289 "32"
"random" "All" 3982 "33"
"random" "SD" 3982 "33"
"random" "NoSD" 3662 "33"
"random" "LINE" 1714 "33"
"random" "SINE" 468 "33"
"random" "DNA" 2047 "33"
"random" "LTR" 276 "33"
"random" "All" 3985 "34"
"random" "SD" 3985 "34"
"random" "NoSD" 3671 "34"
"random" "LINE" 1709 "34"
"random" "SINE" 458 "34"
"random" "DNA" 2073 "34"
"random" "LTR" 272 "34"
"random" "All" 3985 "35"
"random" "SD" 3984 "35"
"random" "NoSD" 3667 "35"
"random" "LINE" 1682 "35"
"random" "SINE" 491 "35"
"random" "DNA" 2075 "35"
"random" "LTR" 275 "35"
"random" "All" 3981 "36"
"random" "SD" 3981 "36"
"random" "NoSD" 3663 "36"
"random" "LINE" 1638 "36"
"random" "SINE" 458 "36"
"random" "DNA" 2074 "36"
"random" "LTR" 303 "36"
"random" "All" 3985 "37"
"random" "SD" 3985 "37"
"random" "NoSD" 3667 "37"
"random" "LINE" 1719 "37"
"random" "SINE" 433 "37"
"random" "DNA" 2151 "37"
"random" "LTR" 280 "37"
"random" "All" 3976 "38"
"random" "SD" 3976 "38"
"random" "NoSD" 3653 "38"
"random" "LINE" 1633 "38"
"random" "SINE" 471 "38"
"random" "DNA" 2098 "38"
"random" "LTR" 281 "38"
"random" "All" 3982 "39"
"random" "SD" 3982 "39"
"random" "NoSD" 3651 "39"
"random" "LINE" 1632 "39"
"random" "SINE" 460 "39"
"random" "DNA" 2082 "39"
"random" "LTR" 260 "39"
"random" "All" 3975 "40"
"random" "SD" 3974 "40"
"random" "NoSD" 3660 "40"
"random" "LINE" 1679 "40"
"random" "SINE" 470 "40"
"random" "DNA" 2134 "40"
"random" "LTR" 290 "40"
"random" "All" 3981 "41"
"random" "SD" 3981 "41"
"random" "NoSD" 3694 "41"
"random" "LINE" 1689 "41"
"random" "SINE" 463 "41"
"random" "DNA" 2118 "41"
"random" "LTR" 303 "41"
"random" "All" 3984 "42"
"random" "SD" 3983 "42"
"random" "NoSD" 3669 "42"
"random" "LINE" 1651 "42"
"random" "SINE" 454 "42"
"random" "DNA" 2091 "42"
"random" "LTR" 268 "42"
"random" "All" 3982 "43"
