"condition" "typerepeat" "nb_of_sv" "runocc"
"random" "SINE" 217 "29"
"random" "DNA" 1143 "29"
"random" "LTR" 182 "29"
"random" "All" 3543 "30"
"random" "SD" 3485 "30"
"random" "NoSD" 2763 "30"
"random" "LINE" 935 "30"
"random" "SINE" 255 "30"
"random" "DNA" 1153 "30"
"random" "LTR" 170 "30"
"random" "All" 3559 "31"
"random" "SD" 3484 "31"
"random" "NoSD" 2840 "31"
"random" "LINE" 983 "31"
"random" "SINE" 235 "31"
"random" "DNA" 1243 "31"
"random" "LTR" 172 "31"
"random" "All" 3533 "32"
"random" "SD" 3477 "32"
"random" "NoSD" 2751 "32"
"random" "LINE" 971 "32"
"random" "SINE" 213 "32"
"random" "DNA" 1160 "32"
"random" "LTR" 148 "32"
"random" "All" 3552 "33"
"random" "SD" 3492 "33"
"random" "NoSD" 2801 "33"
"random" "LINE" 936 "33"
"random" "SINE" 267 "33"
"random" "DNA" 1211 "33"
"random" "LTR" 162 "33"
"random" "All" 3570 "34"
"random" "SD" 3503 "34"
"random" "NoSD" 2776 "34"
"random" "LINE" 976 "34"
"random" "SINE" 238 "34"
"random" "DNA" 1194 "34"
"random" "LTR" 161 "34"
"random" "All" 3507 "35"
"random" "SD" 3452 "35"
"random" "NoSD" 2751 "35"
"random" "LINE" 897 "35"
"random" "SINE" 198 "35"
"random" "DNA" 1152 "35"
"random" "LTR" 176 "35"
"random" "All" 3530 "36"
"random" "SD" 3460 "36"
"random" "NoSD" 2777 "36"
"random" "LINE" 934 "36"
"random" "SINE" 223 "36"
"random" "DNA" 1187 "36"
"random" "LTR" 153 "36"
"random" "All" 3521 "37"
"random" "SD" 3470 "37"
"random" "NoSD" 2746 "37"
"random" "LINE" 937 "37"
"random" "SINE" 255 "37"
"random" "DNA" 1184 "37"
"random" "LTR" 156 "37"
"random" "All" 3538 "38"
"random" "SD" 3475 "38"
"random" "NoSD" 2757 "38"
"random" "LINE" 958 "38"
"random" "SINE" 220 "38"
"random" "DNA" 1161 "38"
"random" "LTR" 149 "38"
"random" "All" 3553 "39"
"random" "SD" 3478 "39"
"random" "NoSD" 2823 "39"
"random" "LINE" 983 "39"
"random" "SINE" 247 "39"
"random" "DNA" 1151 "39"
"random" "LTR" 159 "39"
"random" "All" 3538 "40"
"random" "SD" 3472 "40"
"random" "NoSD" 2769 "40"
"random" "LINE" 931 "40"
"random" "SINE" 250 "40"
"random" "DNA" 1185 "40"
"random" "LTR" 159 "40"
"random" "All" 3542 "41"
"random" "SD" 3478 "41"
"random" "NoSD" 2777 "41"
"random" "LINE" 951 "41"
"random" "SINE" 225 "41"
"random" "DNA" 1179 "41"
"random" "LTR" 176 "41"
"random" "All" 3532 "42"
"random" "SD" 3470 "42"
"random" "NoSD" 2800 "42"
"random" "LINE" 921 "42"
"random" "SINE" 240 "42"
"random" "DNA" 1222 "42"
"random" "LTR" 166 "42"
"random" "All" 3552 "43"
"random" "SD" 3492 "43"
"random" "NoSD" 2780 "43"
"random" "LINE" 916 "43"
"random" "SINE" 231 "43"
"random" "DNA" 1171 "43"
"random" "LTR" 162 "43"
"random" "All" 3541 "44"
"random" "SD" 3471 "44"
"random" "NoSD" 2757 "44"
"random" "LINE" 936 "44"
"random" "SINE" 257 "44"
"random" "DNA" 1144 "44"
"random" "LTR" 164 "44"
"random" "All" 3576 "45"
"random" "SD" 3512 "45"
"random" "NoSD" 2836 "45"
"random" "LINE" 915 "45"
"random" "SINE" 241 "45"
"random" "DNA" 1231 "45"
"random" "LTR" 165 "45"
"random" "All" 3591 "46"
"random" "SD" 3512 "46"
"random" "NoSD" 2854 "46"
"random" "LINE" 956 "46"
"random" "SINE" 210 "46"
"random" "DNA" 1190 "46"
"random" "LTR" 154 "46"
"random" "All" 3544 "47"
"random" "SD" 3480 "47"
"random" "NoSD" 2773 "47"
"random" "LINE" 922 "47"
"random" "SINE" 218 "47"
"random" "DNA" 1188 "47"
"random" "LTR" 175 "47"
"random" "All" 3552 "48"
"random" "SD" 3492 "48"
"random" "NoSD" 2792 "48"
"random" "LINE" 963 "48"
"random" "SINE" 212 "48"
"random" "DNA" 1238 "48"
"random" "LTR" 171 "48"
"random" "All" 3546 "49"
"random" "SD" 3496 "49"
"random" "NoSD" 2775 "49"
"random" "LINE" 936 "49"
"random" "SINE" 250 "49"
"random" "DNA" 1179 "49"
"random" "LTR" 182 "49"
"random" "All" 3532 "50"
"random" "SD" 3476 "50"
"random" "NoSD" 2821 "50"
"random" "LINE" 918 "50"
"random" "SINE" 246 "50"
"random" "DNA" 1220 "50"
"random" "LTR" 156 "50"
"random" "All" 3553 "51"
"random" "SD" 3478 "51"
"random" "NoSD" 2768 "51"
"random" "LINE" 935 "51"
"random" "SINE" 248 "51"
"random" "DNA" 1120 "51"
"random" "LTR" 159 "51"
"random" "All" 3541 "52"
"random" "SD" 3474 "52"
"random" "NoSD" 2786 "52"
"random" "LINE" 949 "52"
"random" "SINE" 229 "52"
"random" "DNA" 1159 "52"
"random" "LTR" 176 "52"
"random" "All" 3550 "53"
"random" "SD" 3484 "53"
"random" "NoSD" 2749 "53"
"random" "LINE" 917 "53"
"random" "SINE" 219 "53"
"random" "DNA" 1137 "53"
"random" "LTR" 182 "53"
"random" "All" 3572 "54"
"random" "SD" 3513 "54"
"random" "NoSD" 2776 "54"
"random" "LINE" 970 "54"
"random" "SINE" 246 "54"
"random" "DNA" 1154 "54"
"random" "LTR" 157 "54"
"random" "All" 3547 "55"
"random" "SD" 3480 "55"
"random" "NoSD" 2803 "55"
"random" "LINE" 902 "55"
"random" "SINE" 228 "55"
"random" "DNA" 1237 "55"
"random" "LTR" 146 "55"
"random" "All" 3558 "56"
"random" "SD" 3489 "56"
"random" "NoSD" 2786 "56"
"random" "LINE" 934 "56"
"random" "SINE" 230 "56"
"random" "DNA" 1156 "56"
"random" "LTR" 150 "56"
"random" "All" 3511 "57"
"random" "SD" 3439 "57"
"random" "NoSD" 2795 "57"
"random" "LINE" 896 "57"
"random" "SINE" 223 "57"
"random" "DNA" 1189 "57"
"random" "LTR" 169 "57"
"random" "All" 3539 "58"
"random" "SD" 3468 "58"
"random" "NoSD" 2753 "58"
"random" "LINE" 923 "58"
"random" "SINE" 225 "58"
"random" "DNA" 1144 "58"
"random" "LTR" 156 "58"
"random" "All" 3551 "59"
"random" "SD" 3472 "59"
"random" "NoSD" 2783 "59"
"random" "LINE" 939 "59"
"random" "SINE" 227 "59"
"random" "DNA" 1158 "59"
"random" "LTR" 169 "59"
"random" "All" 3533 "60"
"random" "SD" 3473 "60"
"random" "NoSD" 2778 "60"
"random" "LINE" 907 "60"
"random" "SINE" 214 "60"
"random" "DNA" 1154 "60"
"random" "LTR" 161 "60"
"random" "All" 3507 "61"
"random" "SD" 3441 "61"
"random" "NoSD" 2791 "61"
"random" "LINE" 952 "61"
"random" "SINE" 225 "61"
"random" "DNA" 1212 "61"
"random" "LTR" 144 "61"
"random" "All" 3533 "62"
"random" "SD" 3455 "62"
"random" "NoSD" 2796 "62"
"random" "LINE" 941 "62"
"random" "SINE" 236 "62"
"random" "DNA" 1149 "62"
"random" "LTR" 153 "62"
"random" "All" 3528 "63"
"random" "SD" 3463 "63"
"random" "NoSD" 2776 "63"
"random" "LINE" 918 "63"
"random" "SINE" 227 "63"
"random" "DNA" 1186 "63"
"random" "LTR" 151 "63"
"random" "All" 3525 "64"
"random" "SD" 3461 "64"
"random" "NoSD" 2737 "64"
"random" "LINE" 904 "64"
"random" "SINE" 230 "64"
"random" "DNA" 1158 "64"
"random" "LTR" 155 "64"
"random" "All" 3569 "65"
"random" "SD" 3507 "65"
"random" "NoSD" 2793 "65"
"random" "LINE" 897 "65"
"random" "SINE" 231 "65"
"random" "DNA" 1216 "65"
"random" "LTR" 160 "65"
"random" "All" 3588 "66"
"random" "SD" 3518 "66"
"random" "NoSD" 2812 "66"
"random" "LINE" 954 "66"
"random" "SINE" 225 "66"
"random" "DNA" 1182 "66"
"random" "LTR" 158 "66"
"random" "All" 3576 "67"
"random" "SD" 3511 "67"
"random" "NoSD" 2754 "67"
"random" "LINE" 943 "67"
"random" "SINE" 245 "67"
"random" "DNA" 1146 "67"
"random" "LTR" 176 "67"
"random" "All" 3534 "68"
"random" "SD" 3475 "68"
"random" "NoSD" 2775 "68"
"random" "LINE" 990 "68"
"random" "SINE" 251 "68"
"random" "DNA" 1169 "68"
"random" "LTR" 165 "68"
"random" "All" 3551 "69"
"random" "SD" 3483 "69"
"random" "NoSD" 2751 "69"
"random" "LINE" 906 "69"
"random" "SINE" 222 "69"
"random" "DNA" 1199 "69"
"random" "LTR" 143 "69"
"random" "All" 3550 "70"
